TOP.6148c662.000adbdf	START
TOP.614988ea.0007d94e	user_options->optimized_kernel_enable	0
TOP.614988ea.0007d94e	user_options->outfile_autohex	1
TOP.614988ea.0007d94e	user_options->outfile_check_timer	5
TOP.614988ea.0007d94e	user_options->outfile_format	3
TOP.614988ea.0007d94e	user_options->wordlist_autohex_disable	0
TOP.614988ea.0007d94e	user_options->potfile_disable	0
TOP.614988ea.0007d94e	user_options->progress_only	0
TOP.614988ea.0007d94e	user_options->quiet	1
TOP.614988ea.0007d94e	user_options->remove	0
TOP.614988ea.0007d94e	user_options->remove_timer	60
TOP.614988ea.0007d94e	user_options->restore	0
TOP.614988ea.0007d94e	user_options->restore_disable	0
TOP.614988ea.0007d94e	user_options->restore_timer	60
TOP.614988ea.0007d94e	user_options->rp_files_cnt	0
TOP.614988ea.0007d94e	user_options->rp_gen	0
TOP.614988ea.0007d94e	user_options->rp_gen_func_max	4
TOP.614988ea.0007d94e	user_options->rp_gen_func_min	1
TOP.614988ea.0007d94e	user_options->rp_gen_seed	0
TOP.614988ea.0007d94e	user_options->runtime	0
TOP.614988ea.0007d94e	user_options->scrypt_tmto	0
TOP.614988ea.0007d94e	user_options->segment_size	33554432
TOP.614988ea.0007d94e	user_options->self_test_disable	0
TOP.614988ea.0007d94e	user_options->slow_candidates	0
TOP.614988ea.0007d94e	user_options->show	0
TOP.614988ea.0007d94e	user_options->speed_only	0
TOP.614988ea.0007d94e	user_options->spin_damp	8
TOP.614988ea.0007d94e	user_options->status	1
TOP.614988ea.0007d94e	user_options->status_timer	3
TOP.614988ea.0007d94e	user_options->stdout_flag	0
TOP.614988ea.0007d94e	user_options->usage	0
TOP.614988ea.0007d94e	user_options->username	0
TOP.614988ea.0007d94e	user_options->veracrypt_pim	0
TOP.614988ea.0007d94e	user_options->version	0
TOP.614988ea.0007d94e	user_options->workload_profile	2
TOP.614988ea.0007d94e	user_options->brain_client	0
TOP.614988ea.0007d94e	user_options->brain_client_features	2
TOP.614988ea.0007d94e	user_options->brain_server	0
TOP.614988ea.0007d94e	user_options->brain_port	6863
TOP.614988ea.0007d94e	user_options->brain_session	0
TOP.614988ea.0007d94e	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/BsWNEwZxIOkhw5MbHoDvywTPQn589AAx
TOP.614988ea.0007d94e	hashes->hashlist_mode	4
TOP.614988ea.0007d94e	hashes->hashlist_format	0
TOP.614988ea.0007d94e	hashes->hashes_cnt	0
TOP.614988ea.0007d94e	hashes->digests_cnt	1
TOP.614988ea.0007d94e	hashes->digests_done	0
TOP.614988ea.0007d94e	hashes->salts_cnt	1
TOP.614988ea.0007d94e	hashes->salts_done	0
TOP.614988ea.0007d94e	SUB.614988ec.00097820	START
TOP.614988ea.0007d94e	SUB.614988ec.00097820	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.614988ea.0007d94e	proc_start	1632209130
TOP.614988ea.0007d94e	proc_stop	1632209133
TOP.614988ea.0007d94e	STOP
TOP.614988f6.0001af61	START
TOP.614988f6.0001af61	user_options->separator	:
TOP.614988f6.0001af61	user_options->encoding_from	utf-8
TOP.614988f6.0001af61	user_options->encoding_to	utf-8
TOP.614988f6.0001af61	user_options->rule_buf_l	:
TOP.614988f6.0001af61	user_options->rule_buf_r	:
TOP.614988f6.0001af61	user_options->session	hashcat
TOP.614988f6.0001af61	user_options->limit	2085608127
TOP.614988f6.0001af61	user_options->skip	0
TOP.614988f6.0001af61	user_options->attack_mode	3
TOP.614988f6.0001af61	user_options->benchmark	0
TOP.614988f6.0001af61	user_options->benchmark_all	0
TOP.614988f6.0001af61	user_options->bitmap_max	18
TOP.614988f6.0001af61	user_options->bitmap_min	16
TOP.614988f6.0001af61	user_options->debug_mode	0
TOP.614988f6.0001af61	user_options->example_hashes	0
TOP.614988f6.0001af61	user_options->force	0
TOP.614988f6.0001af61	user_options->hwmon_disable	0
TOP.614988f6.0001af61	user_options->hwmon_temp_abort	90
TOP.614988f6.0001af61	user_options->hash_mode	0
TOP.614988f6.0001af61	user_options->hex_charset	0
TOP.614988f6.0001af61	user_options->hex_salt	0
TOP.614988f6.0001af61	user_options->hex_wordlist	0
TOP.614988f6.0001af61	user_options->increment	0
TOP.614988f6.0001af61	user_options->increment_max	256
TOP.614988f6.0001af61	user_options->increment_min	1
TOP.614988f6.0001af61	user_options->keep_guessing	0
TOP.614988f6.0001af61	user_options->kernel_accel	0
TOP.614988f6.0001af61	user_options->kernel_loops	0
TOP.614988f6.0001af61	user_options->kernel_threads	0
TOP.614988f6.0001af61	user_options->keyspace	0
TOP.614988f6.0001af61	user_options->left	0
TOP.614988f6.0001af61	user_options->logfile_disable	0
TOP.614988f6.0001af61	user_options->loopback	0
TOP.614988f6.0001af61	user_options->machine_readable	1
TOP.614988f6.0001af61	user_options->markov_classic	0
TOP.614988f6.0001af61	user_options->markov_disable	0
TOP.614988f6.0001af61	user_options->markov_threshold	256
TOP.614988f6.0001af61	user_options->opencl_info	0
TOP.614988f6.0001af61	user_options->opencl_vector_width	0
TOP.614988f6.0001af61	user_options->optimized_kernel_enable	0
TOP.614988f6.0001af61	user_options->outfile_autohex	1
TOP.614988f6.0001af61	user_options->outfile_check_timer	5
TOP.614988f6.0001af61	user_options->outfile_format	3
TOP.614988f6.0001af61	user_options->wordlist_autohex_disable	0
TOP.614988f6.0001af61	user_options->potfile_disable	0
TOP.614988f6.0001af61	user_options->progress_only	0
TOP.614988f6.0001af61	user_options->quiet	1
TOP.614988f6.0001af61	user_options->remove	0
TOP.614988f6.0001af61	user_options->remove_timer	60
TOP.614988f6.0001af61	user_options->restore	0
TOP.614988f6.0001af61	user_options->restore_disable	0
TOP.614988f6.0001af61	user_options->restore_timer	60
TOP.614988f6.0001af61	user_options->rp_files_cnt	0
TOP.614988f6.0001af61	user_options->rp_gen	0
TOP.614988f6.0001af61	user_options->rp_gen_func_max	4
TOP.614988f6.0001af61	user_options->rp_gen_func_min	1
TOP.614988f6.0001af61	user_options->rp_gen_seed	0
TOP.614988f6.0001af61	user_options->runtime	0
TOP.614988f6.0001af61	user_options->scrypt_tmto	0
TOP.614988f6.0001af61	user_options->segment_size	33554432
TOP.614988f6.0001af61	user_options->self_test_disable	0
TOP.614988f6.0001af61	user_options->slow_candidates	0
TOP.614988f6.0001af61	user_options->show	0
TOP.614988f6.0001af61	user_options->speed_only	0
TOP.614988f6.0001af61	user_options->spin_damp	8
TOP.614988f6.0001af61	user_options->status	1
TOP.614988f6.0001af61	user_options->status_timer	3
TOP.614988f6.0001af61	user_options->stdout_flag	0
TOP.614988f6.0001af61	user_options->usage	0
TOP.614988f6.0001af61	user_options->username	0
TOP.614988f6.0001af61	user_options->veracrypt_pim	0
TOP.614988f6.0001af61	user_options->version	0
TOP.614988f6.0001af61	user_options->workload_profile	2
TOP.614988f6.0001af61	user_options->brain_client	0
TOP.614988f6.0001af61	user_options->brain_client_features	2
TOP.614988f6.0001af61	user_options->brain_server	0
TOP.614988f6.0001af61	user_options->brain_port	6863
TOP.614988f6.0001af61	user_options->brain_session	0
TOP.614988f6.0001af61	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/gXIUUeUk211nvFRX5Cj04geSJh00aPiC
TOP.614988f6.0001af61	hashes->hashlist_mode	4
TOP.614988f6.0001af61	hashes->hashlist_format	0
TOP.614988f6.0001af61	hashes->hashes_cnt	0
TOP.614988f6.0001af61	hashes->digests_cnt	1
TOP.614988f6.0001af61	hashes->digests_done	0
TOP.614988f6.0001af61	hashes->salts_cnt	1
TOP.614988f6.0001af61	hashes->salts_done	0
TOP.614988f6.0001af61	SUB.614988f8.000483df	START
TOP.614988f6.0001af61	SUB.614988f8.000483df	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.61498b63.000d77d8	START
TOP.61498b63.000d77d8	user_options->separator	:
TOP.61498b63.000d77d8	user_options->encoding_from	utf-8
TOP.61498b63.000d77d8	user_options->encoding_to	utf-8
TOP.61498b63.000d77d8	user_options->rule_buf_l	:
TOP.61498b63.000d77d8	user_options->rule_buf_r	:
TOP.61498b63.000d77d8	user_options->session	hashcat
TOP.61498b63.000d77d8	user_options->limit	8076184662
TOP.61498b63.000d77d8	user_options->skip	5058709074
TOP.61498b63.000d77d8	user_options->attack_mode	3
TOP.61498b63.000d77d8	user_options->benchmark	0
TOP.61498b63.000d77d8	user_options->benchmark_all	0
TOP.61498b63.000d77d8	user_options->bitmap_max	18
TOP.61498b63.000d77d8	user_options->bitmap_min	16
TOP.61498b63.000d77d8	user_options->debug_mode	0
TOP.61498b63.000d77d8	user_options->example_hashes	0
TOP.61498b63.000d77d8	user_options->force	0
TOP.61498b63.000d77d8	user_options->hwmon_disable	0
TOP.61498b63.000d77d8	user_options->hwmon_temp_abort	90
TOP.61498b63.000d77d8	user_options->hash_mode	0
TOP.61498b63.000d77d8	user_options->hex_charset	0
TOP.61498b63.000d77d8	user_options->hex_salt	0
TOP.61498b63.000d77d8	user_options->hex_wordlist	0
TOP.61498b63.000d77d8	user_options->increment	0
TOP.61498b63.000d77d8	user_options->increment_max	256
TOP.61498b63.000d77d8	user_options->increment_min	1
TOP.61498b63.000d77d8	user_options->keep_guessing	0
TOP.61498b63.000d77d8	user_options->kernel_accel	0
TOP.61498b63.000d77d8	user_options->kernel_loops	0
TOP.61498b63.000d77d8	user_options->kernel_threads	0
TOP.61498b63.000d77d8	user_options->keyspace	0
TOP.61498b63.000d77d8	user_options->left	0
TOP.61498b63.000d77d8	user_options->logfile_disable	0
TOP.61498b63.000d77d8	user_options->loopback	0
TOP.61498b63.000d77d8	user_options->machine_readable	1
TOP.61498b63.000d77d8	user_options->markov_classic	0
TOP.61498b63.000d77d8	user_options->markov_disable	0
TOP.61498b63.000d77d8	user_options->markov_threshold	256
TOP.61498b63.000d77d8	user_options->opencl_info	0
TOP.61498b63.000d77d8	user_options->opencl_vector_width	0
TOP.61498b63.000d77d8	user_options->optimized_kernel_enable	0
TOP.61498b63.000d77d8	user_options->outfile_autohex	1
TOP.61498b63.000d77d8	user_options->outfile_check_timer	5
TOP.61498b63.000d77d8	user_options->outfile_format	3
TOP.61498b63.000d77d8	user_options->wordlist_autohex_disable	0
TOP.61498b63.000d77d8	user_options->potfile_disable	0
TOP.61498b63.000d77d8	user_options->progress_only	0
TOP.61498b63.000d77d8	user_options->quiet	1
TOP.61498b63.000d77d8	user_options->remove	0
TOP.61498b63.000d77d8	user_options->remove_timer	60
TOP.61498b63.000d77d8	user_options->restore	0
TOP.61498b63.000d77d8	user_options->restore_disable	0
TOP.61498b63.000d77d8	user_options->restore_timer	60
TOP.61498b63.000d77d8	user_options->rp_files_cnt	0
TOP.61498b63.000d77d8	user_options->rp_gen	0
TOP.61498b63.000d77d8	user_options->rp_gen_func_max	4
TOP.61498b63.000d77d8	user_options->rp_gen_func_min	1
TOP.61498b63.000d77d8	user_options->rp_gen_seed	0
TOP.61498b63.000d77d8	user_options->runtime	0
TOP.61498b63.000d77d8	user_options->scrypt_tmto	0
TOP.61498b63.000d77d8	user_options->segment_size	33554432
TOP.61498b63.000d77d8	user_options->self_test_disable	0
TOP.61498b63.000d77d8	user_options->slow_candidates	0
TOP.61498b63.000d77d8	user_options->show	0
TOP.61498b63.000d77d8	user_options->speed_only	0
TOP.61498b63.000d77d8	user_options->spin_damp	8
TOP.61498b63.000d77d8	user_options->status	1
TOP.61498b63.000d77d8	user_options->status_timer	3
TOP.61498b63.000d77d8	user_options->stdout_flag	0
TOP.61498b63.000d77d8	user_options->usage	0
TOP.61498b63.000d77d8	user_options->username	0
TOP.61498b63.000d77d8	user_options->veracrypt_pim	0
TOP.61498b63.000d77d8	user_options->version	0
TOP.61498b63.000d77d8	user_options->workload_profile	2
TOP.61498b63.000d77d8	user_options->brain_client	0
TOP.61498b63.000d77d8	user_options->brain_client_features	2
TOP.61498b63.000d77d8	user_options->brain_server	0
TOP.61498b63.000d77d8	user_options->brain_port	6863
TOP.61498b63.000d77d8	user_options->brain_session	0
TOP.61498b63.000d77d8	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/D3FHyxBz9a2RHw3fdh2AtNDWbbTrBxFQ
TOP.61498b63.000d77d8	hashes->hashlist_mode	4
TOP.61498b63.000d77d8	hashes->hashlist_format	0
TOP.61498b63.000d77d8	hashes->hashes_cnt	0
TOP.61498b63.000d77d8	hashes->digests_cnt	1
TOP.61498b63.000d77d8	hashes->digests_done	0
TOP.61498b63.000d77d8	hashes->salts_cnt	1
TOP.61498b63.000d77d8	hashes->salts_done	0
TOP.61498b63.000d77d8	SUB.61498b66.0000cfa1	START
TOP.61498b63.000d77d8	SUB.61498b66.0000cfa1	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.61498b63.000d77d8	proc_start	1632209763
TOP.61498b63.000d77d8	proc_stop	1632209767
TOP.61498b63.000d77d8	STOP
TOP.61498be2.0004396e	START
TOP.61498be2.0004396e	user_options->separator	:
TOP.61498be2.0004396e	user_options->encoding_from	utf-8
TOP.61498be2.0004396e	user_options->encoding_to	utf-8
TOP.61498be2.0004396e	user_options->rule_buf_l	:
TOP.61498be2.0004396e	user_options->rule_buf_r	:
TOP.61498be2.0004396e	user_options->session	hashcat
TOP.61498be2.0004396e	user_options->limit	8076184662
TOP.61498be2.0004396e	user_options->skip	5058709074
TOP.61498be2.0004396e	user_options->attack_mode	3
TOP.61498be2.0004396e	user_options->benchmark	0
TOP.61498be2.0004396e	user_options->benchmark_all	0
TOP.61498be2.0004396e	user_options->bitmap_max	18
TOP.61498be2.0004396e	user_options->bitmap_min	16
TOP.61498be2.0004396e	user_options->debug_mode	0
TOP.61498be2.0004396e	user_options->example_hashes	0
TOP.61498be2.0004396e	user_options->force	0
TOP.61498be2.0004396e	user_options->hwmon_disable	0
TOP.61498be2.0004396e	user_options->hwmon_temp_abort	90
TOP.61498be2.0004396e	user_options->hash_mode	0
TOP.61498be2.0004396e	user_options->hex_charset	0
TOP.61498be2.0004396e	user_options->hex_salt	0
TOP.61498be2.0004396e	user_options->hex_wordlist	0
TOP.61498be2.0004396e	user_options->increment	0
TOP.61498be2.0004396e	user_options->increment_max	256
TOP.61498be2.0004396e	user_options->increment_min	1
TOP.61498be2.0004396e	user_options->keep_guessing	0
TOP.61498be2.0004396e	user_options->kernel_accel	0
TOP.61498be2.0004396e	user_options->kernel_loops	0
TOP.61498be2.0004396e	user_options->kernel_threads	0
TOP.61498be2.0004396e	user_options->keyspace	0
TOP.61498be2.0004396e	user_options->left	0
TOP.61498be2.0004396e	user_options->logfile_disable	0
TOP.61498be2.0004396e	user_options->loopback	0
TOP.61498be2.0004396e	user_options->machine_readable	1
TOP.61498be2.0004396e	user_options->markov_classic	0
TOP.61498be2.0004396e	user_options->markov_disable	0
TOP.61498be2.0004396e	user_options->markov_threshold	256
TOP.61498be2.0004396e	user_options->opencl_info	0
TOP.61498be2.0004396e	user_options->opencl_vector_width	0
TOP.61498be2.0004396e	user_options->optimized_kernel_enable	0
TOP.61498be2.0004396e	user_options->outfile_autohex	1
TOP.61498be2.0004396e	user_options->outfile_check_timer	5
TOP.61498be2.0004396e	user_options->outfile_format	3
TOP.61498be2.0004396e	user_options->wordlist_autohex_disable	0
TOP.61498be2.0004396e	user_options->potfile_disable	0
TOP.61498be2.0004396e	user_options->progress_only	0
TOP.61498be2.0004396e	user_options->quiet	1
TOP.61498be2.0004396e	user_options->remove	0
TOP.61498be2.0004396e	user_options->remove_timer	60
TOP.61498be2.0004396e	user_options->restore	0
TOP.61498be2.0004396e	user_options->restore_disable	0
TOP.61498be2.0004396e	user_options->restore_timer	60
TOP.61498be2.0004396e	user_options->rp_files_cnt	0
TOP.61498be2.0004396e	user_options->rp_gen	0
TOP.61498be2.0004396e	user_options->rp_gen_func_max	4
TOP.61498be2.0004396e	user_options->rp_gen_func_min	1
TOP.61498be2.0004396e	user_options->rp_gen_seed	0
TOP.61498be2.0004396e	user_options->runtime	0
TOP.61498be2.0004396e	user_options->scrypt_tmto	0
TOP.61498be2.0004396e	user_options->segment_size	33554432
TOP.61498be2.0004396e	user_options->self_test_disable	0
TOP.61498be2.0004396e	user_options->slow_candidates	0
TOP.61498be2.0004396e	user_options->show	0
TOP.61498be2.0004396e	user_options->speed_only	0
TOP.61498be2.0004396e	user_options->spin_damp	8
TOP.61498be2.0004396e	user_options->status	1
TOP.61498be2.0004396e	user_options->status_timer	3
TOP.61498be2.0004396e	user_options->stdout_flag	0
TOP.61498be2.0004396e	user_options->usage	0
TOP.61498be2.0004396e	user_options->username	0
TOP.61498be2.0004396e	user_options->veracrypt_pim	0
TOP.61498be2.0004396e	user_options->version	0
TOP.61498be2.0004396e	user_options->workload_profile	2
TOP.61498be2.0004396e	user_options->brain_client	0
TOP.61498be2.0004396e	user_options->brain_client_features	2
TOP.61498be2.0004396e	user_options->brain_server	0
TOP.61498be2.0004396e	user_options->brain_port	6863
TOP.61498be2.0004396e	user_options->brain_session	0
TOP.61498be2.0004396e	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/60EHa4qaR2MxZe3wfvglQKJ0J6tB3GhR
TOP.61498be2.0004396e	hashes->hashlist_mode	4
TOP.61498be2.0004396e	hashes->hashlist_format	0
TOP.61498be2.0004396e	hashes->hashes_cnt	0
TOP.61498be2.0004396e	hashes->digests_cnt	1
TOP.61498be2.0004396e	hashes->digests_done	0
TOP.61498be2.0004396e	hashes->salts_cnt	1
TOP.61498be2.0004396e	hashes->salts_done	0
TOP.61498be2.0004396e	SUB.61498be4.00068ff4	START
TOP.61498be2.0004396e	SUB.61498be4.00068ff4	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.61498be2.0004396e	proc_start	1632209890
TOP.61498be2.0004396e	proc_stop	1632209893
TOP.61498be2.0004396e	STOP
TOP.61498d11.0005c453	START
TOP.61498d11.0005c453	user_options->separator	:
TOP.61498d11.0005c453	user_options->encoding_from	utf-8
TOP.61498d11.0005c453	user_options->encoding_to	utf-8
TOP.61498d11.0005c453	user_options->rule_buf_l	:
TOP.61498d11.0005c453	user_options->rule_buf_r	:
TOP.61498d11.0005c453	user_options->session	hashcat
TOP.61498d11.0005c453	user_options->limit	8076184662
TOP.61498d11.0005c453	user_options->skip	5058709074
TOP.61498d11.0005c453	user_options->attack_mode	3
TOP.61498d11.0005c453	user_options->benchmark	0
TOP.61498d11.0005c453	user_options->benchmark_all	0
TOP.61498d11.0005c453	user_options->bitmap_max	18
TOP.61498d11.0005c453	user_options->bitmap_min	16
TOP.61498d11.0005c453	user_options->debug_mode	0
TOP.61498d11.0005c453	user_options->example_hashes	0
TOP.61498d11.0005c453	user_options->force	0
TOP.61498d11.0005c453	user_options->hwmon_disable	0
TOP.61498d11.0005c453	user_options->hwmon_temp_abort	90
TOP.61498d11.0005c453	user_options->hash_mode	0
TOP.61498d11.0005c453	user_options->hex_charset	0
TOP.61498d11.0005c453	user_options->hex_salt	0
TOP.61498d11.0005c453	user_options->hex_wordlist	0
TOP.61498d11.0005c453	user_options->increment	0
TOP.61498d11.0005c453	user_options->increment_max	256
TOP.61498d11.0005c453	user_options->increment_min	1
TOP.61498d11.0005c453	user_options->keep_guessing	0
TOP.61498d11.0005c453	user_options->kernel_accel	0
TOP.61498d11.0005c453	user_options->kernel_loops	0
TOP.61498d11.0005c453	user_options->kernel_threads	0
TOP.61498d11.0005c453	user_options->keyspace	0
TOP.61498d11.0005c453	user_options->left	0
TOP.61498d11.0005c453	user_options->logfile_disable	0
TOP.61498d11.0005c453	user_options->loopback	0
TOP.61498d11.0005c453	user_options->machine_readable	1
TOP.61498d11.0005c453	user_options->markov_classic	0
TOP.61498d11.0005c453	user_options->markov_disable	0
TOP.61498d11.0005c453	user_options->markov_threshold	256
TOP.61498d11.0005c453	user_options->opencl_info	0
TOP.61498d11.0005c453	user_options->opencl_vector_width	0
TOP.61498d11.0005c453	user_options->optimized_kernel_enable	0
TOP.61498d11.0005c453	user_options->outfile_autohex	1
TOP.61498d11.0005c453	user_options->outfile_check_timer	5
TOP.61498d11.0005c453	user_options->outfile_format	3
TOP.61498d11.0005c453	user_options->wordlist_autohex_disable	0
TOP.61498d11.0005c453	user_options->potfile_disable	0
TOP.61498d11.0005c453	user_options->progress_only	0
TOP.61498d11.0005c453	user_options->quiet	1
TOP.61498d11.0005c453	user_options->remove	0
TOP.61498d11.0005c453	user_options->remove_timer	60
TOP.61498d11.0005c453	user_options->restore	0
TOP.61498d11.0005c453	user_options->restore_disable	0
TOP.61498d11.0005c453	user_options->restore_timer	60
TOP.61498d11.0005c453	user_options->rp_files_cnt	0
TOP.61498d11.0005c453	user_options->rp_gen	0
TOP.61498d11.0005c453	user_options->rp_gen_func_max	4
TOP.61498d11.0005c453	user_options->rp_gen_func_min	1
TOP.61498d11.0005c453	user_options->rp_gen_seed	0
TOP.61498d11.0005c453	user_options->runtime	0
TOP.61498d11.0005c453	user_options->scrypt_tmto	0
TOP.61498d11.0005c453	user_options->segment_size	33554432
TOP.61498d11.0005c453	user_options->self_test_disable	0
TOP.61498d11.0005c453	user_options->slow_candidates	0
TOP.61498d11.0005c453	user_options->show	0
TOP.61498d11.0005c453	user_options->speed_only	0
TOP.61498d11.0005c453	user_options->spin_damp	8
TOP.61498d11.0005c453	user_options->status	1
TOP.61498d11.0005c453	user_options->status_timer	3
TOP.61498d11.0005c453	user_options->stdout_flag	0
TOP.61498d11.0005c453	user_options->usage	0
TOP.61498d11.0005c453	user_options->username	0
TOP.61498d11.0005c453	user_options->veracrypt_pim	0
TOP.61498d11.0005c453	user_options->version	0
TOP.61498d11.0005c453	user_options->workload_profile	2
TOP.61498d11.0005c453	user_options->brain_client	0
TOP.61498d11.0005c453	user_options->brain_client_features	2
TOP.61498d11.0005c453	user_options->brain_server	0
TOP.61498d11.0005c453	user_options->brain_port	6863
TOP.61498d11.0005c453	user_options->brain_session	0
TOP.61498d11.0005c453	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/jfCk0gKHHyFyPlT2t0LS1xqylnuBZVHP
TOP.61498d11.0005c453	hashes->hashlist_mode	4
TOP.61498d11.0005c453	hashes->hashlist_format	0
TOP.61498d11.0005c453	hashes->hashes_cnt	0
TOP.61498d11.0005c453	hashes->digests_cnt	1
TOP.61498d11.0005c453	hashes->digests_done	0
TOP.61498d11.0005c453	hashes->salts_cnt	1
TOP.61498d11.0005c453	hashes->salts_done	0
TOP.61498d11.0005c453	SUB.61498d13.000773b6	START
TOP.61498d11.0005c453	SUB.61498d13.000773b6	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.61498d11.0005c453	proc_start	1632210193
TOP.61498d11.0005c453	proc_stop	1632210196
TOP.61498d11.0005c453	STOP
TOP.61498e3b.00012324	START
TOP.61498e3b.00012324	user_options->separator	:
TOP.61498e3b.00012324	user_options->encoding_from	utf-8
TOP.61498e3b.00012324	user_options->encoding_to	utf-8
TOP.61498e3b.00012324	user_options->rule_buf_l	:
TOP.61498e3b.00012324	user_options->rule_buf_r	:
TOP.61498e3b.00012324	user_options->session	hashcat
TOP.61498e3b.00012324	user_options->limit	8076184662
TOP.61498e3b.00012324	user_options->skip	5058709074
TOP.61498e3b.00012324	user_options->attack_mode	3
TOP.61498e3b.00012324	user_options->benchmark	0
TOP.61498e3b.00012324	user_options->benchmark_all	0
TOP.61498e3b.00012324	user_options->bitmap_max	18
TOP.61498e3b.00012324	user_options->bitmap_min	16
TOP.61498e3b.00012324	user_options->debug_mode	0
TOP.61498e3b.00012324	user_options->example_hashes	0
TOP.61498e3b.00012324	user_options->force	0
TOP.61498e3b.00012324	user_options->hwmon_disable	0
TOP.61498e3b.00012324	user_options->hwmon_temp_abort	90
TOP.61498e3b.00012324	user_options->hash_mode	0
TOP.61498e3b.00012324	user_options->hex_charset	0
TOP.61498e3b.00012324	user_options->hex_salt	0
TOP.61498e3b.00012324	user_options->hex_wordlist	0
TOP.61498e3b.00012324	user_options->increment	0
TOP.61498e3b.00012324	user_options->increment_max	256
TOP.61498e3b.00012324	user_options->increment_min	1
TOP.61498e3b.00012324	user_options->keep_guessing	0
TOP.61498e3b.00012324	user_options->kernel_accel	0
TOP.61498e3b.00012324	user_options->kernel_loops	0
TOP.61498e3b.00012324	user_options->kernel_threads	0
TOP.61498e3b.00012324	user_options->keyspace	0
TOP.61498e3b.00012324	user_options->left	0
TOP.61498e3b.00012324	user_options->logfile_disable	0
TOP.61498e3b.00012324	user_options->loopback	0
TOP.61498e3b.00012324	user_options->machine_readable	1
TOP.61498e3b.00012324	user_options->markov_classic	0
TOP.61498e3b.00012324	user_options->markov_disable	0
TOP.61498e3b.00012324	user_options->markov_threshold	256
TOP.61498e3b.00012324	user_options->opencl_info	0
TOP.61498e3b.00012324	user_options->opencl_vector_width	0
TOP.61498e3b.00012324	user_options->optimized_kernel_enable	0
TOP.61498e3b.00012324	user_options->outfile_autohex	1
TOP.61498e3b.00012324	user_options->outfile_check_timer	5
TOP.61498e3b.00012324	user_options->outfile_format	3
TOP.61498e3b.00012324	user_options->wordlist_autohex_disable	0
TOP.61498e3b.00012324	user_options->potfile_disable	0
TOP.61498e3b.00012324	user_options->progress_only	0
TOP.61498e3b.00012324	user_options->quiet	1
TOP.61498e3b.00012324	user_options->remove	0
TOP.61498e3b.00012324	user_options->remove_timer	60
TOP.61498e3b.00012324	user_options->restore	0
TOP.61498e3b.00012324	user_options->restore_disable	0
TOP.61498e3b.00012324	user_options->restore_timer	60
TOP.61498e3b.00012324	user_options->rp_files_cnt	0
TOP.61498e3b.00012324	user_options->rp_gen	0
TOP.61498e3b.00012324	user_options->rp_gen_func_max	4
TOP.61498e3b.00012324	user_options->rp_gen_func_min	1
TOP.61498e3b.00012324	user_options->rp_gen_seed	0
TOP.61498e3b.00012324	user_options->runtime	0
TOP.61498e3b.00012324	user_options->scrypt_tmto	0
TOP.61498e3b.00012324	user_options->segment_size	33554432
TOP.61498e3b.00012324	user_options->self_test_disable	0
TOP.61498e3b.00012324	user_options->slow_candidates	0
TOP.61498e3b.00012324	user_options->show	0
TOP.61498e3b.00012324	user_options->speed_only	0
TOP.61498e3b.00012324	user_options->spin_damp	8
TOP.61498e3b.00012324	user_options->status	1
TOP.61498e3b.00012324	user_options->status_timer	3
TOP.61498e3b.00012324	user_options->stdout_flag	0
TOP.61498e3b.00012324	user_options->usage	0
TOP.61498e3b.00012324	user_options->username	0
TOP.61498e3b.00012324	user_options->veracrypt_pim	0
TOP.61498e3b.00012324	user_options->version	0
TOP.61498e3b.00012324	user_options->workload_profile	2
TOP.61498e3b.00012324	user_options->brain_client	0
TOP.61498e3b.00012324	user_options->brain_client_features	2
TOP.61498e3b.00012324	user_options->brain_server	0
TOP.61498e3b.00012324	user_options->brain_port	6863
TOP.61498e3b.00012324	user_options->brain_session	0
TOP.61498e3b.00012324	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/WygrmldpSFb0O7piZZapbe6Vd0ZrdJZ0
TOP.61498e3b.00012324	hashes->hashlist_mode	4
TOP.61498e3b.00012324	hashes->hashlist_format	0
TOP.61498e3b.00012324	hashes->hashes_cnt	0
TOP.61498e3b.00012324	hashes->digests_cnt	1
TOP.61498e3b.00012324	hashes->digests_done	0
TOP.61498e3b.00012324	hashes->salts_cnt	1
TOP.61498e3b.00012324	hashes->salts_done	0
TOP.61498e3b.00012324	SUB.61498e3d.0003bfc2	START
TOP.61498e3b.00012324	SUB.61498e3d.0003bfc2	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.61498e3b.00012324	proc_start	1632210491
TOP.61498e3b.00012324	proc_stop	1632210494
TOP.61498e3b.00012324	STOP
TOP.61498f5d.0003566b	START
TOP.61498f5d.0003566b	user_options->separator	:
